Date,Open,High,Low,Close,Capital,price_change,volume,capital_change
2024-04-01,71518.6015625,72369.0859375,70670.3125,72186.5703125,26511398912.0,0.9339790791273117,266090.0,32.22022058126138
2024-04-02,72187.9921875,72833.75,71348.7734375,72882.078125,26186866688.0,0.9614977985620499,245160.0,-1.2241233140230179
2024-04-03,72508.5546875,73056.203125,71673.2109375,73215.1015625,26089549824.0,0.9744324721395969,245160.0,-0.3716246923431754
2024-04-04,72669.6796875,73167.875,71835.2265625,73382.390625,26171252736.0,0.9807541966438293,245160.0,0.3131633624434471
2024-04-05,72750.7421875,73224.0546875,71916.703125,73466.546875,26216243200.0,0.9839138947427273,245160.0,0.17190794460475445
2024-04-06,72790.546875,73251.640625,71956.71875,73507.8671875,26236960768.0,0.9854580275714397,245160.0,0.07902569486759603
2024-04-07,72809.9296875,73265.0703125,71976.2109375,73528.0,26246930432.0,0.9862258099019527,245160.0,0.03799854894168675
2024-04-08,72819.3515625,73271.6015625,71985.6796875,73537.78125,26251790336.0,0.9865917265415192,245160.0,0.018516085401643068
2024-04-09,72823.921875,73274.765625,71990.28125,73542.53125,26254145536.0,0.9867765009403229,245160.0,0.008971578790806234
2024-04-10,72826.140625,73276.3046875,71992.5078125,73544.828125,26255284224.0,0.9868537075817585,245160.0,0.004337173959356733
